,year,month,adm_code,so2
665,2013,2,610100,587.4059405940594
666,2013,2,630100,517.6842105263158
667,2013,2,532800,216.63313609467457
668,2013,2,152500,461.99911190053285
670,2013,2,421200,289.3626373626374
671,2013,2,610400,625.1485148514852
672,2013,2,810000,120.0
673,2013,2,430300,350.73333333333335
674,2013,2,433100,247.41496598639455
675,2013,2,420600,477.28648648648647
676,2013,2,420900,404.2528735632184
677,2013,2,140900,562.7606177606177
678,2013,2,410700,697.7411764705882
679,2013,2,360500,238.36666666666667
680,2013,2,411500,393.9779005524862
681,2013,2,130500,1291.968253968254
682,2013,2,152200,176.89252336448598
683,2013,2,320300,512.2636363636364
684,2013,2,411000,643.0612244897959
685,2013,2,341800,242.98319327731093
686,2013,2,511800,268.5390070921986
687,2013,2,370600,477.64963503649636
688,2013,2,610600,499.78933333333333
689,2013,2,222400,354.8958333333333
690,2013,2,320900,281.88652482269504
691,2013,2,321000,280.6101694915254
692,2013,2,441700,187.859375
693,2013,2,140300,1022.1086956521739
694,2013,2,230700,147.87088607594936
695,2013,2,654000,211.46003262642742
696,2013,2,511500,330.34645669291336
697,2013,2,420500,393.64179104477614
698,2013,2,360900,237.2982456140351
699,2013,2,430900,314.0521739130435
700,2013,2,640100,887.304347826087
701,2013,2,360600,243.1764705882353
702,2013,2,210800,547.425925925926
703,2013,2,431100,274.00995024875624
704,2013,2,610800,458.26126126126127
705,2013,2,450900,232.80357142857142
706,2013,2,632700,127.8929282868526
707,2013,2,530400,267.28
708,2013,2,430600,273.34057971014494
709,2013,2,445300,238.56521739130434
710,2013,2,140800,735.4326241134752
711,2013,2,370400,788.829268292683
712,2013,2,440800,129.5744680851064
713,2013,2,430800,242.43333333333334
714,2013,2,130700,514.3102564102564
715,2013,2,620700,573.4522613065327
716,2013,2,350600,140.55555555555554
717,2013,2,220100,367.9217081850534
718,2013,2,430100,282.0275229357798
719,2013,2,140400,669.6950354609929
720,2013,2,530600,344.6862745098039
721,2013,2,441200,262.4029850746269
722,2013,2,321100,287.36842105263156
723,2013,2,410100,617.6111111111111
724,2013,2,442000,201.46666666666667
725,2013,2,640500,493.86713286713285
726,2013,2,500000,308.84251968503935
727,2013,2,330900,120.4
728,2013,2,411600,574.3559322033898
729,2013,2,440400,132.88888888888889
730,2013,2,430200,265.49484536082474
731,2013,2,411700,513.5374149659864
732,2013,2,512000,352.34
733,2013,2,370300,1303.9322033898304
734,2013,2,510300,340.775
735,2013,2,520300,315.92226148409895
736,2013,3,513200,187.12155388471177
737,2013,3,652900,190.36884057971014
739,2013,3,152900,385.53142183817755
740,2013,3,654300,212.40057636887607
741,2013,3,542500,136.99907777436212
742,2013,3,610900,289.0888888888889
743,2013,3,340800,286.91472868217056
744,2013,3,520400,258.16279069767444
745,2013,3,410500,645.917808219178
746,2013,3,210300,420.0520833333333
747,2013,3,150800,342.9885386819484
748,2013,3,652800,127.8086569579288
749,2013,3,511900,237.2280701754386
750,2013,3,220800,150.36700336700338
752,2013,3,220600,333.88947368421054
753,2013,3,620400,366.1859296482412
754,2013,3,451000,204.0251572327044
755,2013,3,340300,300.6101694915254
756,2013,3,150200,404.55374592833874
757,2013,3,610300,296.1912568306011
758,2013,3,130600,674.3624454148471
759,2013,3,530500,141.20238095238096
761,2013,3,450500,148.92
762,2013,3,110000,450.7586206896552
764,2013,3,210500,329.7
765,2013,3,520500,324.43145161290323
766,2013,3,371600,681.2736842105263
767,2013,3,341600,411.82716049382714
768,2013,3,652700,208.1970802919708
769,2013,3,130900,640.8382352941177
770,2013,3,540300,95.29383429672447
771,2013,3,652300,175.99281437125748
773,2013,3,430700,305.9820359281437
774,2013,3,320400,386.5
775,2013,3,211300,446.69953051643193
776,2013,3,445100,174.53846153846155
777,2013,3,431000,274.5057471264368
778,2013,3,510100,329.57037037037037
779,2013,3,130800,475.89227166276345
781,2013,3,341700,250.42307692307693
782,2013,3,150400,417.00417536534445
783,2013,3,451400,172.96129032258065
784,2013,3,341100,284.0078125
785,2013,3,532300,309.7198443579766
786,2013,3,511700,291.45283018867923
787,2013,3,532900,159.76679841897234
788,2013,3,210200,397.46086956521737
789,2013,3,230600,217.15537848605578
790,2013,3,140200,470.92715231788077
791,2013,3,232700,203.87616822429908
792,2013,3,210600,337.961038961039
793,2013,3,460400,73.3103448275862
794,2013,3,533100,141.0990099009901
795,2013,3,510600,302.0
796,2013,3,371400,677.6140350877193
797,2013,3,533400,100.51162790697674
799,2013,3,621100,272.3085106382979
801,2013,3,441900,218.82608695652175
802,2013,3,370500,610.1176470588235
803,2013,3,150600,398.5060639470783
804,2013,3,420700,386.46666666666664
805,2013,3,422800,207.50442477876106
806,2013,3,450600,158.25
807,2013,3,440600,302.94117647058823
808,2013,3,350100,126.87628865979381
809,2013,3,210400,314.1487603305785
810,2013,3,361000,252.75595238095238
811,2013,3,210900,347.4830508474576
812,2013,3,341200,396.969696969697
813,2013,3,623000,260.0552486187845
814,2013,3,513300,129.70762711864407
815,2013,3,360700,229.994301994302
816,2013,3,640400,282.9142857142857
817,2013,3,511600,362.73770491803276
818,2013,3,510800,220.0
819,2013,3,440100,249.3793103448276
820,2013,3,450800,237.67021276595744
821,2013,3,520100,286.5
822,2013,3,450300,213.239837398374
823,2013,3,632600,189.23691460055096
824,2013,3,230100,261.4673202614379
825,2013,3,650500,185.84071381361534
826,2013,3,632200,392.2836676217765
827,2013,3,630200,350.5859375
828,2013,3,460100,57.5
829,2013,3,632500,255.95899772209566
830,2013,3,632800,169.73472084572182
831,2013,3,130400,801.241935483871
832,2013,3,610700,261.3
833,2013,3,330100,250.2675159235669
834,2013,3,340100,248.19444444444446
835,2013,3,653200,161.38611886717192
836,2013,3,451200,199.36486486486487
837,2013,3,441600,200.58156028368793
838,2013,3,371700,579.9579831932773
839,2013,3,451100,209.86666666666667
840,2013,3,410600,621.2
841,2013,3,230400,126.66666666666667
842,2013,3,231100,175.07654921020657
843,2013,3,131100,725.2777777777778
844,2013,3,430400,361.64285714285717
845,2013,3,532500,264.11149825783974
846,2013,3,150100,482.6
847,2013,3,150700,203.78698412698412
849,2013,3,211400,536.9417475728155
850,2013,3,330500,286.6727272727273
851,2013,3,431200,260.228
852,2013,3,320800,271.3131313131313
853,2013,3,340600,394.5
854,2013,3,340400,296.75471698113205
855,2013,3,421100,328.3312883435583
856,2013,3,632300,275.6271186440678
857,2013,3,341000,220.64444444444445
858,2013,3,420200,327.57142857142856
859,2013,3,441300,197.93684210526317
860,2013,3,230300,193.35546875
861,2013,3,360800,248.91810344827587
862,2013,3,220200,297.2032258064516
